ID,year,tamano,sales,age,foreign,export,workers,fomento,iyd,impuestos,utilidades
100083,2015,1,3.786879676,31,0,1,2.692846919,0,0,0,9.09E-05
100083,2017,1,3.781911951,33,0,1,2.837588438,0,0,7.10E-06,-0.00035169
100085,2007,1,4.432594867,33,0,1,2.31386722,1,1,0.000324505,0.001815742
100085,2009,1,7.502423692,35,0,1,2.445604203,0,1,0.18941972,-1.3792484
100085,2013,1,4.597749162,20,0,1,3.550717423,0,1,5.24E-05,7.51E-05
100086,2007,1,3.961912973,19,0,0,2.017033339,0,1,6.16E-05,0.001861266
100086,2009,1,6.878766994,21,0,0,1.875061263,0,0,0.005139584,0.13314723
100086,2013,1,3.996765809,25,0,0,3.009025742,0,0,0.00018483,0.000702077
100086,2015,1,3.983610254,27,0,0,2.975891136,0,0,0.000217723,0.000924598
100086,2017,1,3.912179874,29,0,0,2.646403726,0,0,0.000773637,0.000610354
100089,2007,1,5.259231266,27,0,1,3.426836454,0,1,0.000636283,0.016093313
100089,2013,1,5.478193491,33,1,1,4.496846654,0,0,0.014916263,0.070636656
100090,2007,1,3.705389457,14,0,0,1.653212514,0,0,0.000343743,0.001465344
100090,2013,1,3.718182145,28,0,0,2.684845362,0,0,0.000247749,0.002267509
100091,2007,1,4.364749,44,0,1,2.315970345,0,1,1.73E-05,0.000746643
100091,2009,1,7.624299766,46,0,0,2.40654018,0,0,0.63472088,3.490086
100091,2013,1,4.818017785,20,1,0,3.865281685,0,1,0.000869117,-0.004422155
100092,2007,1,5.705870415,61,0,0,3.005609445,1,1,0.013534647,0.18065383
100092,2009,1,8.734072153,16,1,0,3.273001272,1,0,8.843046,182.251312
100092,2013,1,6.134980829,20,1,1,4.295237131,0,1,0.020873049,0.20502169
100092,2015,1,6.167645531,69,0,0,4.318501584,0,1,0.010478704,0.14995719
100092,2017,1,6.218969006,71,0,0,4.265313203,0,1,0.011083289,0.19153439
100095,2007,1,3.883714461,17,0,0,2.071882007,1,0,0,-0.000457411
100095,2013,1,3.549394527,23,0,0,2.912222057,0,0,0,-0.000445123
100096,2007,1,4.453246568,44,0,1,1.880813592,1,1,0.000246854,0.001460053
100096,2015,1,4.583591752,76,0,1,3.269746373,0,0,0,-0.001835372
100098,2007,1,3.782595922,24,0,1,2.158362492,0,1,0,0.000224214
100098,2009,1,6.833553634,16,0,1,2.201397124,0,0,0.0160094,1.0129371
100098,2013,1,3.779566616,20,0,1,3.304705898,0,0,1.86E-08,0.000483611
100098,2015,1,3.716045994,32,0,1,3.068927612,0,0,5.43E-05,0.000269673
100099,2007,1,3.778421081,24,0,0,1.612783857,0,1,9.13E-05,0.000443749
100099,2009,1,6.832556906,26,0,1,1.591064607,1,1,0.16047519,0.76676431
100099,2013,1,3.758200436,30,0,1,2.423245874,0,1,8.82E-05,0.0003529
100099,2015,1,3.779341243,22,0,0,2.761175813,0,1,0.000107946,0.000367527
100100,2007,1,5.74692665,61,1,1,2.857935265,1,1,0,0.016515734
