sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work
0,105,.60000002,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,9,9,1
1,105,.63,1,1,1,1,4,4,4,5,2,1,1,5,1,1,1,5,1,10,11,0
1,105,1.6900001,1,1,1,1,1,1,1,2,2,2,1,3,2,2,4,3,1,3,3,-1
1,104,.86000001,0,1,2,2,2,2,2,1,4,2,2,3,2,2,3,3,1,12,12,0
1,104,.92000002,1,1,3,3,3,1,1,1,5,1,1,5,1,1,4,1,1,13,9,-1
1,103,2.0999999,1,1,2,3,2,3,3,3,3,3,2,3,3,3,3,1,1,6,13,-1
0,104,-.34,1,1,2,3,2,3,2,3,1,2,2,3,3,3,5,3,0,3,0,-1
1,105,.079999998,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,12,9,-1
1,105,-.28999999,1,1,1,3,2,1,2,3,4,2,3,4,4,1,4,,1,8,13,1
0,104,1.36,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,3,1,14,11,0
0,104,-.54000002,1,1,1,2,1,1,1,1,5,5,2,2,1,1,1,5,1,9,13,1
0,104,-1.05,1,1,1,2,3,2,1,2,2,2,2,3,3,2,4,5,1,13,7,-1
1,104,-.079999998,1,1,1,2,1,2,2,3,2,2,2,1,2,2,3,1,1,14,13,1
1,103,.34999999,1,1,1,1,1,1,1,2,3,3,2,3,1,1,1,,1,9,9,-1
1,104,.14,0,1,1,1,1,1,1,2,1,2,3,2,3,1,2,5,0,10,13,1
0,104,1.12,1,1,1,1,1,1,1,2,3,2,3,2,2,1,1,2,1,18,18,1
1,104,-.58999997,1,1,1,2,2,4,3,3,4,3,3,3,3,4,3,3,1,10,13,1
1,103,.11,0,1,1,1,2,2,2,2,2,2,3,3,2,3,5,3,1,9,9,1
0,106,.60000002,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,2,0,7,8,-1
1,104,3.0699999,1,1,2,3,4,1,2,2,1,1,2,3,2,2,3,2,1,7,7,-1
0,105,-.34,1,1,3,3,3,4,5,3,2,2,1,3,3,4,1,1,1,8,5,1
1,105,-.07,1,1,2,2,2,2,1,2,4,1,1,1,1,1,1,5,1,0,10,1
1,104,3.5899999,0,1,3,3,1,1,1,1,5,1,1,2,1,1,1,2,1,9,10,-1
1,105,-3.4000001,1,1,1,1,1,1,2,1,2,3,3,3,2,2,3,3,0,11,2,-1
1,103,2.1700001,1,1,1,2,1,1,1,2,3,1,2,3,1,2,5,2,1,9,8,-1
