session_id,user_id,sequence_id,node_id,option_id,nodo_id,iia,iic,mi,ei,ci,rc,dpe_a,dpe_p,lf
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N5_SOFIA_PRIORITY,C,5,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N7_RIOS_DERIVACION,A,7,3.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N8_RIOS_SANCION,A,8,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N9_SOTO_REPORTE,B,9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D2_SEQUENCE_8,MLQ5X_D2S8_N11_SOTO_DECISION,C,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_5,MLQ5X_D1S5_N10_SOTO_PROTOCOLS,C,10,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_3,MLQ5X_D1S3_N6_GUZMAN_DOCENCIA,C,6,3.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D2_SEQUENCE_10,MLQ5X_D2S10_N13_LATE_ARRIVAL_RESPONSE,A,13,2.0,2.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D2_SEQUENCE_10,MLQ5X_D2S10_N14_RIOS_EXTENDED_SHIFTS,A,14,3.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D2_SEQUENCE_10,MLQ5X_D2S10_N15_RIOS_RESIGNATION_RISK,A,15,2.0,3.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D5_SEQUENCE_21,MLQ5X_D5S21_N26_SOFIA_MINOR_RECORD_ERROR,A,26,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D3_SEQUENCE_16,MLQ5X_D3S16_N21_GUZMAN_UNREGISTERED_INTERNS,A,21,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D3_SEQUENCE_16,MLQ5X_D3S16_N22_GUZMAN_CONVENIO_BOX1,B,22,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D4_SEQUENCE_20,MLQ5X_D4S20_N25_RIOS_FLEXIBILITY_REQUEST,A,25,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D5_SEQUENCE_22,MLQ5X_D5S22_N27_SOTO_MINOR_RISK_REPORT,B,27,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D5_SEQUENCE_23,MLQ5X_D5S23_N28_RIOS_TENS_PROTOCOL,A,28,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D2_SEQUENCE_11,MLQ5X_D2S11_N16_GUZMAN_VISION,A,16,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D2_SEQUENCE_11,MLQ5X_D2S11_N17_GUZMAN_PRACTICE_CUPS,A,17,3.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D2_SEQUENCE_9,MLQ5X_D2S9_N12_SOTO_WATER_CUT_FOLLOWUP,A,12,4.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D3_SEQUENCE_14,MLQ5X_D3S14_N18_SOFIA_BOX6_DECISION,A,18,3.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D3_SEQUENCE_14,MLQ5X_D3S14_N19_ULTRASOUND_SHARED_USE,A,19,3.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D3_SEQUENCE_15,MLQ5X_D3S15_N20_SOTO_ROTATING_SHIFTS_DECISION,C,20,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D3_SEQUENCE_18,MLQ5X_D3S18_N23_JAVIER_WORKLOAD,A,23,3.0,3.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0
