region,idc,puntaje,nem,ingreso2,vacantes,ingreso,year,stem,area
6,29734,,,,20,43,2019,0,Art/Humanities
7,29628,,,,30,42,2019,0,Art/Humanities
7,29629,,,,25,28,2019,0,Art/Humanities
6,29654,,,,15,30,2019,0,Art/Humanities
7,4926,,,,60,68,2019,0,Art/Humanities
7,4928,,,,25,26,2019,0,Art/Humanities
7,23922,,,,15,6,2019,0,Art/Humanities
7,7777,,,,30,29,2019,0,Art/Humanities
7,21171,,,,30,41,2019,0,Art/Humanities
7,16192,,,,30,25,2019,0,Art/Humanities
7,4853,,,,45,76,2019,0,Art/Humanities
7,16663,,,,20,7,2019,0,Art/Humanities
7,17059,,,,30,61,2019,0,Art/Humanities
7,16594,,,,50,81,2019,0,Art/Humanities
7,7404,709,662,23,23,135,2018,0,Art/Humanities
7,7405,641,610,22,23,87,2018,0,Art/Humanities
7,7402,674,681,290,290,1263,2018,0,Art/Humanities
7,7406,667,645,81,80,438,2018,0,Art/Humanities
7,29756,,,,,58,2018,0,Art/Humanities
7,7408,643,588,41,38,147,2018,0,Art/Humanities
7,11675,685,682,72,51,374,2018,0,Art/Humanities
7,7463,,,,,122,2018,0,Art/Humanities
7,29760,,,,,33,2018,0,Art/Humanities
7,7456,645,648,136,136,695,2018,0,Art/Humanities
7,7433,639,583,92,80,267,2018,0,Art/Humanities
7,7403,647,634,55,55,385,2018,0,Art/Humanities
7,7434,677,624,88,90,419,2018,0,Art/Humanities
7,7452,644,613,84,78,333,2018,0,Art/Humanities
7,1203,706,677,42,40,202,2018,0,Art/Humanities
7,15663,671,665,53,50,172,2018,0,Art/Humanities
7,1171,665,683,79,75,372,2018,0,Art/Humanities
7,1173,681,696,183,90,820,2018,0,Art/Humanities
7,33378,,,,,6,2018,0,Art/Humanities
7,1186,643,622,27,25,134,2018,0,Art/Humanities
7,1207,660,658,47,50,385,2018,0,Art/Humanities
7,1192,713,691,62,60,304,2018,0,Art/Humanities
7,1253,,,,,61,2018,0,Art/Humanities
7,1212,681,683,61,60,297,2018,0,Art/Humanities
7,1213,676,675,35,34,163,2018,0,Art/Humanities
7,1204,698,664,2,10,153,2018,0,Art/Humanities
10,1360,640,649,72,75,400,2018,0,Art/Humanities
10,11012,611,606,54,50,220,2018,0,Art/Humanities
10,1423,603,575,49,40,81,2018,0,Art/Humanities
10,1521,585,555,52,55,278,2018,0,Art/Humanities
10,13974,632,593,31,30,81,2018,0,Art/Humanities
6,1569,660,679,72,70,380,2018,0,Art/Humanities
6,1651,594,566,44,45,161,2018,0,Art/Humanities
6,1609,,,,,107,2018,0,Art/Humanities
6,1603,574,516,56,50,211,2018,0,Art/Humanities
6,1610,,,,,5,2018,0,Art/Humanities
6,33583,,,,,18,2018,0,Art/Humanities
6,40307,642,661,76,70,351,2018,0,Art/Humanities
7,40347,627,610,41,30,43,2018,0,Art/Humanities
6,1726,641,660,29,30,139,2018,0,Art/Humanities
6,21862,547,546,38,50,161,2018,0,Art/Humanities
7,1835,660,660,68,60,406,2018,0,Art/Humanities
7,1874,547,547,27,35,108,2018,0,Art/Humanities
7,33399,645,645,30,20,86,2018,0,Art/Humanities
7,12244,,,,,2,2018,0,Art/Humanities
13,2015,610,617,75,75,370,2018,0,Art/Humanities
13,10028,595,576,41,30,158,2018,0,Art/Humanities
3,2136,570,579,83,78,414,2018,0,Art/Humanities
5,2166,527,528,1,3,7,2018,0,Art/Humanities
5,6391,605,607,76,75,393,2018,0,Art/Humanities
6,2264,627,565,25,20,120,2018,0,Art/Humanities
6,2191,593,602,121,120,640,2018,0,Art/Humanities
6,2240,580,555,42,40,157,2018,0,Art/Humanities
6,2193,552,540,82,75,354,2018,0,Art/Humanities
6,2244,,,,,1,2018,0,Art/Humanities
3,31534,546,541,15,15,53,2018,0,Art/Humanities
16,2627,582,584,16,20,78,2018,0,Art/Humanities
9,2751,628,653,72,70,399,2018,0,Art/Humanities
9,2771,600,605,46,40,158,2018,0,Art/Humanities
